,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
222,22,CC-NP-220908-006,용의전설,해피 레져 산업,2022-08-08,2022-09-08,청소년이용불가,DG-NP-22-00191,GRAC
223,23,CC-NP-220908-007,Tom Clancy＇s The Division: Heartland (톰 클랜시의 더 디비전: 하트랜드) PC,유비소프트엔터테인먼트,2022-08-16,2022-09-08,청소년이용불가,DG-NP-22-00198,GRAC
224,24,CC-NP-220908-008,Quake Champions(퀘이크 챔피언스),한국마이크로소프트(유),2022-08-16,2022-09-08,청소년이용불가,DG-NP-22-00200,GRAC
225,25,CC-NP-220908-009,impick (아이엠픽),주식회사 메타록,2022-08-18,2022-09-08,청소년이용불가,DG-NP-22-00208,GRAC
226,26,CC-NP-220908-010,이글게임,엠제이엠컴퍼니,2022-08-24,2022-09-08,청소년이용불가,DG-NP-22-00211,GRAC
227,27,CC-NV-220908-001,The Callisto Protocol(칼리스토 프로토콜),(주)크래프톤,2022-08-24,2022-09-08,청소년이용불가,DG-NV-22-00027,GRAC
228,28,CC-OM-220908-001,달려라 공룡,"HONG KONG TANWAN INFORMATION TECHNOLOGY CO.,LIMITE",2022-07-22,2022-09-08,12세이용가,DG-OM-22-00115,GRAC
229,29,CC-OM-220908-002,바다의노래 (SeaSong),엠G엔터,2022-07-19,2022-09-08,청소년이용불가,DG-OM-22-00111,GRAC
230,30,CC-OM-220908-003,고래사냥 (WhaleHunting),엠G엔터,2022-07-19,2022-09-08,청소년이용불가,DG-OM-22-00112,GRAC
231,31,CC-OM-220908-004,행운의바다 (TheSeaOfFortune),엠G엔터,2022-07-19,2022-09-08,청소년이용불가,DG-OM-22-00113,GRAC
232,32,CC-OP-220908-001,Gungrave G.O.R.E,KochMedia,2022-08-08,2022-09-08,청소년이용불가,DG-OP-22-00031,GRAC
233,33,CC-OP-220908-002,Blanc,Gearbox Publishing,2022-08-29,2022-09-08,전체이용가,DG-OP-22-00034,GRAC
234,34,CC-OV-220908-001,Unspottable,GrosChevaux,2022-09-05,2022-09-08,전체이용가,DG-OV-22-00020,GRAC
235,35,CC-NA-220922-001,무사도 Poker,다온시스템,2022-06-28,2022-09-22,청소년이용불가,DG-NA-22-00053,GRAC
236,36,CC-NA-220922-002,동해야,인스소프트,2022-08-16,2022-09-22,청소년이용불가,DG-NA-22-00067,GRAC
237,37,CC-NP-220922-001,`하나`님의 캠퍼스 라이프!,스마일게이트스토브,2022-08-26,2022-09-22,청소년이용불가,DG-NP-22-00215,GRAC
238,38,CC-NP-220922-002,Sonicomi (소니코미),스마일게이트스토브,2022-09-14,2022-09-22,청소년이용불가,DG-NP-22-00225,GRAC
239,39,CC-NP-220922-003,Evil Wizard (이블 위저드),스마일게이트스토브,2022-09-02,2022-09-22,청소년이용불가,DG-NP-22-00221,GRAC
240,40,CC-NP-220922-004,워헤이븐 (Warhaven),주식회사 넥슨코리아,2022-09-06,2022-09-22,청소년이용불가,DG-NP-22-00223,GRAC
241,41,CC-NP-220922-005,리턴즈천년도깨비,알파포스원,2022-09-07,2022-09-22,청소년이용불가,DG-NP-22-00224,GRAC
242,42,CC-NP-220922-006,PUBG: BATTLEGROUNDS,(주)크래프톤,2022-09-15,2022-09-22,청소년이용불가,DG-NP-22-00228,GRAC
243,43,CC-NP-220922-007,"슬레인: 백 프롬 헬(Slain: Back from Hell, PC)",에픽게임즈코리아,2022-09-14,2022-09-22,청소년이용불가,DG-NP-22-00227,GRAC
244,44,CC-NV-220922-001,니디 걸 오버도즈 : NEEDY GIRL OVERDOSE,코멧소프트,2022-09-20,2022-09-22,청소년이용불가,DG-NV-22-00030,GRAC
245,45,CC-OM-220922-001,NETFLIX IMMORTALITY,Netflix Inc,2022-08-29,2022-09-22,청소년이용불가,DG-OM-22-00149,GRAC
246,46,CC-OM-220922-002,파이브고래(FiveWhale),오륭전자,2022-08-16,2022-09-22,청소년이용불가,DG-OM-22-00143,GRAC
247,47,CC-OM-220922-003,바이킹 액스(Viking AXE),윤규탁,2022-09-06,2022-09-22,청소년이용불가,DG-OM-22-00154,GRAC
248,48,CC-OM-220922-004,토토샵(TOTOSHARP)_모바일,주식회사 레브게임즈,2022-09-07,2022-09-22,청소년이용불가,DG-OM-22-00156,GRAC
249,49,CC-OM-220922-005,소녀전쟁: 환상의 천하통일전,"Tianlong Culture Technology Co., Ltd",2022-09-14,2022-09-22,청소년이용불가,DG-OM-22-00158,GRAC
250,50,CC-OM-220922-006,City of Crime:Gang Wars,FingerFun(HK)Limited,2022-08-30,2022-09-22,청소년이용불가,DG-OM-22-00151,GRAC
251,51,CC-OP-220922-001,ONI : 최고의 오니를 향한 여정,Clouded Leopard Entertainment Inc.,2022-09-19,2022-09-22,전체이용가,DG-OP-22-00036,GRAC
252,52,CC-OV-220922-001,Isonzo,WW1 Game Series B.V.,2022-07-13,2022-09-22,청소년이용불가,DG-OV-22-00018,GRAC
253,53,CC-NP-220929-001,퍼스트 디센던트 (The First Descendant),주식회사 넥슨코리아,2022-08-23,2022-09-29,청소년이용불가,DG-NP-22-00210,GRAC
254,54,CC-NP-220929-002,Monument (모뉴먼트),스마일게이트스토브,2022-09-26,2022-09-29,청소년이용불가,DG-NP-22-00238,GRAC
255,55,CC-NP-220929-003,The Darkest Tales (더 다키스트 테일즈),스마일게이트스토브,2022-09-19,2022-09-29,청소년이용불가,DG-NP-22-00229,GRAC
256,56,CC-NP-220929-004,BIOHAZARD RE:4 (바이오하자드 RE:4),게임피아(주),2022-09-22,2022-09-29,청소년이용불가,DG-NP-22-00232,GRAC
257,57,CC-OM-220929-001,소녀킹덤,Lokka Entertainment Hong Kong Limited,2022-07-14,2022-09-29,청소년이용불가,DG-OM-22-00108,GRAC
258,58,CC-OM-220929-002,Craft of Survival - Immortal,101XP LIMITED,2022-09-06,2022-09-29,청소년이용불가,DG-OM-22-00153,GRAC
259,59,CC-OM-220929-003,슈퍼윈포커_훌라,(주)넥스넷,2022-09-14,2022-09-29,청소년이용불가,DG-OM-22-00157,GRAC
260,60,CC-OM-220929-004,Last Labyrinth,AMATA K.K.,2022-09-26,2022-09-29,청소년이용불가,DG-OM-22-00172,GRAC
261,61,CC-OP-220929-001,Deep Rock Galactic,Ghost Ship Games ApS,2022-06-27,2022-09-29,청소년이용불가,DG-OP-22-00025,GRAC
262,62,CC-OV-220929-001,The Tale of Onogoro,AMATA K.K.,2022-09-14,2022-09-29,15세이용가,DG-OV-22-00021,GRAC
263,63,GC-CC-NP-220902-020,Who`s Who? (후즈후?),지원플레이그라운드,2022-08-29,2022-09-02,전체이용가,GC-DG-NP-22-00258,GCRB
264,64,GC-CC-NP-220902-019,WRC Generations - FIA WRC Official Game (WRC 제너레이션 - FIA 월드 랠리 챔피언십),(주)에이치투인터렉티브,2022-08-26,2022-09-02,전체이용가,GC-DG-NP-22-00256,GCRB
265,65,GC-CC-NV-220902-004,MOZART REQUIEM (모차르트 레퀴엠),게임피아(주),2022-08-24,2022-09-02,12세이용가,GC-DG-NV-22-00057,GCRB
266,66,GC-CC-NP-220902-018,아처리 랜드(Archery Land),주식회사 룩슨,2022-08-22,2022-09-02,전체이용가,GC-DG-NP-22-00252,GCRB
267,67,GC-CC-NP-220902-017,Sackboy A Big Adventure (색보이 어 빅 어드벤처) ＜PC＞,(주)소니인터랙티브엔터테인먼트코리아,2022-08-22,2022-09-02,전체이용가,GC-DG-NP-22-00253,GCRB
268,68,GC-CC-NV-220902-003,Dark Sword Battle Eternity(다크소드 : 무한전쟁),주식회사 컴투스로카,2022-08-26,2022-09-02,12세이용가,GC-DG-NV-22-00058,GCRB
269,69,GC-CC-NP-220902-016,TRIANGLE STRATEGY (트라이앵글 스트래티지),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00249,GCRB
270,70,GC-CC-NV-220902-002,THEATRHYTHM FINAL BAR LINE (시아트리듬 파이널 바 라인),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NV-22-00056,GCRB
271,71,GC-CC-NV-220902-001,Tales of Symphonia Remastered(테일즈 오브 심포니아 리마스터),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NV-22-00055,GCRB
272,72,GC-CC-NP-220902-015,PC Gundam Evolution(건담 에볼루션),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00248,GCRB
273,73,GC-CC-NP-220902-014,VARIOUS DAYLIFE (베리어스 데이라이프),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00247,GCRB
274,74,GC-CC-NP-220902-013,Voice of Cards: The Beasts of Burden (보이스 오브 카드: 더 비스트 오브 버든),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00246,GCRB
275,75,GC-CC-NP-220902-012,CRISIS CORE -FINAL FANTASY VII- REUNION (크라이시스 코어 -FINAL FANTASY VII- 리유니온),반다이남코엔터테인먼트코리아 주식회사,2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00245,GCRB
276,76,GC-CC-NP-220902-011,SUPER BOMBERMAN R 2 (슈퍼 봄버맨 R 2),(주)유니아나,2022-08-22,2022-09-02,전체이용가,GC-DG-NP-22-00251,GCRB
277,77,GC-CC-NP-220902-010,Brewmaster: Beer Brewing Simulator(브루마스터: 맥주 양조 시뮬레이터),(주)에이치투인터렉티브,2022-08-24,2022-09-02,전체이용가,GC-DG-NP-22-00255,GCRB
